klant_id,voornaam,achternaam,email,aanmaak_datum
1,Lotte,Peeters,lotte.peeters@example.com,2024-01-15
2,Daan,Mertens,daan.mertens@example.com,2024-01-20
3,Chloé,Dubois,chloe.dubois@example.com,2024-02-10
4,Arthur,Martin,arthur.martin@example.com,2024-02-15
5,Fatima,El Amrani,fatima.elamrani@example.com,2024-03-21
6,Noah,Willems,noah.willems@example.com,2024-03-28
7,Adam,Mohamed,adam.mohamed@example.com,2024-04-08
8,Elias,De Smet,elias.desmet@example.com,2024-04-12
9,Lena,Maes,lena.maes@example.com,2024-05-03
10,Victor,Rousseau,victor.rousseau@example.com,2024-05-19
11,Amira,Benali,amira.benali@example.com,2024-06-05
12,Simon,De Clercq,simon.declerq@example.com,2024-06-22
13,Juliette,Laurent,juliette.laurent@example.com,2024-07-01
14,Oscar,Verhoeven,oscar.verhoeven@example.com,2024-07-15
15,Yasmin,Yilmaz,yasmin.yilmaz@example.com,2024-08-09
16,Louis,Dupont,louis.dupont@example.com,2024-08-25
17,Marie,Vandevelde,marie.vandevelde@example.com,2024-09-03
